,apt_names,apt_address,apt_price,apt_type,apt_link
318,Oaks Minnehaha Longfellow,"5329 48th Ave S, Minneapolis, MN 55417","$1,202 - 2,137",Studio - 2 Beds,https://www.apartments.com/aberdeen-apartments-minneapolis-mn/wjvqy5l/
319,633 Ontario St SE,"Minneapolis, MN 55414","$1,900",3 Beds,https://www.apartments.com/foundry-lake-street-minneapolis-mn/fh79dgs/
320,Boutique 28,"2817 Girard Ave S, Minneapolis, MN 55408","$1,385 - 3,835",Studio - 3 Beds,https://www.apartments.com/foundry-lake-street-minneapolis-mn/fh79dgs/
321,Karmel Apartments,"99 E 54th St, Minneapolis, MN 55419","$1,125 - 1,205",1 Bed,https://www.apartments.com/foundry-lake-street-minneapolis-mn/fh79dgs/
322,621 5th Ave.,"621 5th Ave SE, Minneapolis, MN 55414","$900 - 1,180",1-2 Beds,https://www.apartments.com/foundry-lake-street-minneapolis-mn/fh79dgs/
323,The Arrow Apartments - Student Housing,"117 27th Ave SE, Minneapolis, MN 55414","$739 - 1,339",1-4 Beds,https://www.apartments.com/the-asher-minneapolis-mn/tb5zpjb/
324,SECOND AND SECOND,"120 2nd St N, Minneapolis, MN 55401","$1,735 - 3,682",1-2 Beds,https://www.apartments.com/the-asher-minneapolis-mn/tb5zpjb/
325,The Whit,"2201 Blaisdell Ave, Minneapolis, MN 55404","$990 - 2,785",Studio - 2 Beds,https://www.apartments.com/the-asher-minneapolis-mn/tb5zpjb/
326,Saint Anthony Village - 3725 Stinson,"3725 Stinson Blvd, Minneapolis, MN 55421","$1,195 - 1,975",1-2 Beds,https://www.apartments.com/the-asher-minneapolis-mn/tb5zpjb/
327,Oliver & Wendell Apartments,"600 University Ave SE, Minneapolis, MN 55414","$1,295 - 1,615",1-3 Beds,https://www.apartments.com/lago-apartments-minneapolis-mn/1fls1t4/
328,Tudor Terrace,"3014 31st Ave S, Minneapolis, MN 55406","$825 - 1,025",1 Bed,https://www.apartments.com/lago-apartments-minneapolis-mn/1fls1t4/
329,Prospect Park Apartments,"3109 4th St SE, Minneapolis, MN 55414",$850 - 950,Studio - 1 Bed,https://www.apartments.com/lago-apartments-minneapolis-mn/1fls1t4/
330,The Marshall Street Apartments NE,"1011 Marshall St NE, Minneapolis, MN 55413","$1,195 - 1,450",1-2 Beds,https://www.apartments.com/lago-apartments-minneapolis-mn/1fls1t4/
331,First Place Apartments,"2312 1st Ave S, Minneapolis, MN 55404","$1,125 - 1,235",2 Beds,https://www.apartments.com/the-beach-club-residences-minneapolis-mn/2yv08tc/
332,The Maker,"1428 Marshall St NE, Minneapolis, MN 55413","$2,950",3 Beds,https://www.apartments.com/the-beach-club-residences-minneapolis-mn/2yv08tc/
333,Third North Apartments,"800 N 3rd St, Minneapolis, MN 55401","$1,395 - 2,285",Studio - 2 Beds,https://www.apartments.com/the-beach-club-residences-minneapolis-mn/2yv08tc/
334,Creek Terrace Apartments,"616 W 53rd St, Minneapolis, MN 55419","$950 - 1,025",1-2 Beds,https://www.apartments.com/the-beach-club-residences-minneapolis-mn/2yv08tc/
335,Revel,"1300 W Lake St, Minneapolis, MN 55408","$1,355 - 2,995",1-2 Beds,https://www.apartments.com/sora-minneapolis-mn/vjhlntd/
336,MILLENNIUM AT WEST END,"5245 Wayzata Blvd, Minneapolis, MN 55416","$1,373 - 3,119",Studio - 3 Beds,https://www.apartments.com/sora-minneapolis-mn/vjhlntd/
337,1907 &amp; 1917 Colfax,"1917 Colfax Ave S, Minneapolis, MN 55403",$895,Studio - 2 Beds,https://www.apartments.com/sora-minneapolis-mn/vjhlntd/
338,St. George Apartments,"137 E 17th St, Minneapolis, MN 55403",$885,Studio - 1 Bed,https://www.apartments.com/sora-minneapolis-mn/vjhlntd/
339,3441 Bryant Ave S,"Minneapolis, MN 55408",$930 - 980,1 Bed,https://www.apartments.com/dock-street-flats-minneapolis-mn/8nm1vc1/
340,The Villa,"1111 S 7th St, Minneapolis, MN 55415",$800 - 825,Studio,https://www.apartments.com/dock-street-flats-minneapolis-mn/8nm1vc1/
341,Lowry Row Homes,"2407 2nd St NE, Minneapolis, MN 55418","$2,375",2-3 Beds,https://www.apartments.com/dock-street-flats-minneapolis-mn/8nm1vc1/
342,Como Court,"1005 15th Ave SE, Minneapolis, MN 55414","$999 - 1,399",Studio - 2 Beds,https://www.apartments.com/dock-street-flats-minneapolis-mn/8nm1vc1/
343,Doyle Apartments,"1307 4th St SE, Minneapolis, MN 55414","$650 - 3,500",1-4 Beds,https://www.apartments.com/flux-apartments-minneapolis-mn/ysbhm2v/
344,The Remington Campus Apartments,"708 5th St Se, Minneapolis, MN 55414","$745 - 1,200",Studio - 2 Beds,https://www.apartments.com/flux-apartments-minneapolis-mn/ysbhm2v/
345,Quarry Place,"1830 Hayes St NE, Minneapolis, MN 55418","$1,025 - 1,070",1 Bed,https://www.apartments.com/flux-apartments-minneapolis-mn/ysbhm2v/
346,St. Anthony Village,"320 7th St SE, Minneapolis, MN 55414","$800 - 1,240",Studio - 2 Beds,https://www.apartments.com/flux-apartments-minneapolis-mn/ysbhm2v/
347,Granite Peaks,"3907-3911 65th Ave N, Minneapolis, MN 55429","$919 - 1,289",Studio - 2 Beds,https://www.apartments.com/3848-west-broadway-minneapolis-mn/xmzrhpm/
348,Studios at 7 Corners,"1414 S 3rd St, Minneapolis, MN 55454",$985,Studio - 2 Beds,https://www.apartments.com/3848-west-broadway-minneapolis-mn/xmzrhpm/
349,The Birchway Apartments,"5716-5720 Winnetka Ave N, Minneapolis, MN 55428","$1,135 - 1,815",1-3 Beds,https://www.apartments.com/3848-west-broadway-minneapolis-mn/xmzrhpm/
350,2920 Dean Parkway,"2920 Dean Pky, Minneapolis, MN 55416","$1,065 - 1,650",Studio - 2 Beds,https://www.apartments.com/3848-west-broadway-minneapolis-mn/xmzrhpm/
351,The Brownstones,"800 4th St SE, Minneapolis, MN 55414","$599 - 2,995",1-5 Beds,https://www.apartments.com/pure-lowry-minneapolis-mn/x1ebh0p/
352,The Bridges,"930 University Ave SE, Minneapolis, MN 55414","$615 - 1,630",Studio - 2 Beds,https://www.apartments.com/pure-lowry-minneapolis-mn/x1ebh0p/
353,2300 Aldrich,"2300 Aldrich Ave S, Minneapolis, MN 55405","$795 - 1,295",Studio - 2 Beds,https://www.apartments.com/pure-lowry-minneapolis-mn/x1ebh0p/
354,The Rose,"1928 Portland Ave, Minneapolis, MN 55404","$1,195 - 1,800",1-2 Beds,https://www.apartments.com/pure-lowry-minneapolis-mn/x1ebh0p/
355,Lake West on France,"3028 Ewing Ave S, Minneapolis, MN 55416","$1,095 - 1,425",1-2 Beds,https://www.apartments.com/luna-minneapolis-mn/4kmtryh/
356,Broadway Flats,"2505 Penn Ave N, Minneapolis, MN 55411","$1,049 - 1,291",Studio - 2 Beds,https://www.apartments.com/luna-minneapolis-mn/4kmtryh/
357,Hub Minneapolis,"311 Harvard St SE, Minneapolis, MN 55414","$670 - 1,935",Studio - 4 Beds,https://www.apartments.com/luna-minneapolis-mn/4kmtryh/
358,Gateway Northeast,"20 Lowry Ave NE, Minneapolis, MN 55418","$1,225 - 1,825",Studio - 2 Beds,https://www.apartments.com/luna-minneapolis-mn/4kmtryh/
359,City Place Lofts,"730 Hennepin Ave, Minneapolis, MN 55403","$933 - 1,242",Studio - 2 Beds,https://www.apartments.com/b-side-apartments-minneapolis-mn/96fshx5/
360,Uptown Plaza,"2300 Pleasant Ave, Minneapolis, MN 55404","$875 - 1,245",Studio - 2 Beds,https://www.apartments.com/b-side-apartments-minneapolis-mn/96fshx5/
361,The Chalet,"3023 Lyndale Ave, Minneapolis, MN 55408",$675 - 685,1 Bed,https://www.apartments.com/b-side-apartments-minneapolis-mn/96fshx5/
362,Spruce Place Apartments,"1365 Spruce Pl, Minneapolis, MN 55403",$675 - 950,Studio - 1 Bed,https://www.apartments.com/b-side-apartments-minneapolis-mn/96fshx5/
363,3220 Girard,"3220 Girard Ave S, Minneapolis, MN 55408",$845 - 895,Studio - 2 Beds,https://www.apartments.com/rex26-minneapolis-mn/0ekbjl2/
364,Bossen Park Apartments,"5717 31st Ave S, Minneapolis, MN 55417",$850 - 900,1 Bed,https://www.apartments.com/rex26-minneapolis-mn/0ekbjl2/
365,2321 Aldrich,"2321 Aldrich Ave S, Minneapolis, MN 55405","$975 - 1,210",1-2 Beds,https://www.apartments.com/rex26-minneapolis-mn/0ekbjl2/
366,Stone Arch I,"601-701 Main St SE, Minneapolis, MN 55414","$1,048 - 1,758",Studio - 2 Beds,https://www.apartments.com/rex26-minneapolis-mn/0ekbjl2/
367,Mill City Quarter,"300 S 2nd St, Minneapolis, MN 55401","$1,282 - 1,546",1-2 Beds,https://www.apartments.com/the-lily-pad-minneapolis-mn/fzbc3pr/
368,Colony Apartment Homes,"1740 1/2 W 76th St, Minneapolis, MN 55423","$1,165 - 1,449",1-2 Beds,https://www.apartments.com/the-lily-pad-minneapolis-mn/fzbc3pr/
369,2876 Humboldt Ave S,"Minneapolis, MN 55408","$785 - 1,300",Studio - 2 Beds,https://www.apartments.com/the-lily-pad-minneapolis-mn/fzbc3pr/
370,Haverhill Apartments,"32-34 Spruce Pl, Minneapolis, MN 55403","$915 - 1,170",Studio - 1 Bed,https://www.apartments.com/chroma-minneapolis-mn/89pj5m1/
371,Copenhagen Enterprises,"26 Oak Grove St, Minneapolis, MN 55403","$700 - 1,200",Studio - 2 Beds,https://www.apartments.com/chroma-minneapolis-mn/89pj5m1/
372,Autumn Ridge Apartments,"8500-8516 63rd Ave N, Minneapolis, MN 55428","$939 - 1,343",1-2 Beds,https://www.apartments.com/chroma-minneapolis-mn/89pj5m1/
373,Shoreline Plaza,"15 E Grant St, Minneapolis, MN 55403","$653 - 1,325",Studio - 1 Bed,https://www.apartments.com/chroma-minneapolis-mn/89pj5m1/
